Dataset,Experiment,RMSE_Phi,RMSE_Theta,RMSE_Psi,Avg_RMSE,Time_sec,Status
D1.xlsx,Exp1_Baseline_Fixed,0.063358,0.046225,0.158222,0.089268,21.1,OK
D1.xlsx,Exp2_Hyperparam_Tuned,0.080133,0.065323,0.172081,0.105846,13.2,OK
D1.xlsx,Exp3_Deeper_Arch,0.071757,0.081379,0.183129,0.112088,24.5,OK
D1.xlsx,Exp4_Bidirectional,0.070152,0.052407,0.171066,0.097875,16.0,OK
D1.xlsx,Exp5_Output_Normalization,0.071058,0.055184,0.095416,0.073886,14.2,OK
D1.xlsx,Exp6_Sliding_Window,0.050376,0.04325,0.143025,0.078884,30.7,OK
D1.xlsx,Exp7_Combined_Best,0.03719,0.031305,0.113315,0.060603,212.5,OK
D1.xlsx,Exp8_BiLSTM_Dense,0.04874,0.034483,0.097229,0.060151,193.3,OK
D2.xlsx,Exp1_Baseline_Fixed,0.064527,0.063848,0.162073,0.096816,18.0,OK
D2.xlsx,Exp2_Hyperparam_Tuned,0.079145,0.07221,0.199114,0.116823,15.0,OK
D2.xlsx,Exp3_Deeper_Arch,0.062543,0.085858,0.182949,0.11045,20.8,OK
D2.xlsx,Exp4_Bidirectional,0.089246,0.056668,0.143042,0.096319,13.8,OK
D2.xlsx,Exp5_Output_Normalization,0.063367,0.042295,0.077796,0.061153,11.9,OK
D2.xlsx,Exp6_Sliding_Window,0.061305,0.059277,0.127428,0.08267,29.5,OK
D2.xlsx,Exp7_Combined_Best,0.038948,0.023363,0.052465,0.038258,122.4,OK
D2.xlsx,Exp8_BiLSTM_Dense,0.025849,0.022355,0.047647,0.03195,288.2,OK
D3.xlsx,Exp1_Baseline_Fixed,0.06292,0.046175,0.078575,0.062557,42.7,OK
D3.xlsx,Exp2_Hyperparam_Tuned,0.098927,0.070386,0.116441,0.095251,31.3,OK
D3.xlsx,Exp3_Deeper_Arch,0.063667,0.059726,0.097892,0.073762,51.3,OK
D3.xlsx,Exp4_Bidirectional,0.039021,0.026712,0.05562,0.040451,36.9,OK
D3.xlsx,Exp5_Output_Normalization,0.077759,0.04304,0.093402,0.0714,31.0,OK
D3.xlsx,Exp6_Sliding_Window,0.059395,0.03393,0.04966,0.047662,38.1,OK
D3.xlsx,Exp7_Combined_Best,0.044571,0.03639,0.103238,0.0614,72.8,OK
D3.xlsx,Exp8_BiLSTM_Dense,0.042167,0.025479,0.085825,0.051157,237.5,OK
D4.xlsx,Exp1_Baseline_Fixed,0.231333,0.03346,0.290551,0.185115,19.6,OK
D4.xlsx,Exp2_Hyperparam_Tuned,0.323659,0.039523,0.324181,0.229121,15.0,OK
D4.xlsx,Exp3_Deeper_Arch,0.24458,0.039432,0.36541,0.216474,25.5,OK
D4.xlsx,Exp4_Bidirectional,0.283978,0.04268,0.302849,0.209836,16.5,OK
D4.xlsx,Exp5_Output_Normalization,0.236808,0.039818,0.280926,0.185851,13.9,OK
D4.xlsx,Exp6_Sliding_Window,0.285632,0.055436,0.37206,0.237709,27.8,OK
D4.xlsx,Exp7_Combined_Best,0.346452,0.032188,0.340104,0.239581,133.7,OK
D4.xlsx,Exp8_BiLSTM_Dense,0.344683,0.033475,0.325214,0.234458,385.6,OK
D5.xlsx,Exp1_Baseline_Fixed,1.242695,0.054051,0.337419,0.544722,33.4,OK
D5.xlsx,Exp2_Hyperparam_Tuned,0.544261,0.065002,0.459347,0.356203,29.6,OK
D5.xlsx,Exp3_Deeper_Arch,0.363209,0.079735,0.444537,0.295827,71.4,OK
D5.xlsx,Exp4_Bidirectional,0.413848,0.062912,0.445306,0.307355,40.2,OK
D5.xlsx,Exp5_Output_Normalization,0.575327,0.038024,0.311396,0.308249,26.6,OK
D5.xlsx,Exp6_Sliding_Window,0.223187,0.053406,0.43209,0.236228,63.0,OK
D5.xlsx,Exp7_Combined_Best,0.678665,0.059697,0.271029,0.336464,314.3,OK
D5.xlsx,Exp8_BiLSTM_Dense,0.407278,0.046334,0.243623,0.232412,442.1,OK
D6.xlsx,Exp1_Baseline_Fixed,0.967105,0.204925,1.118448,0.763493,33.8,OK
D6.xlsx,Exp2_Hyperparam_Tuned,0.958504,0.215412,1.171636,0.781851,23.7,OK
D6.xlsx,Exp3_Deeper_Arch,0.869861,0.264061,1.083007,0.738976,65.8,OK
D6.xlsx,Exp4_Bidirectional,0.989779,0.189815,1.023991,0.734528,46.4,OK
D6.xlsx,Exp5_Output_Normalization,0.77061,0.218073,1.150517,0.713067,31.2,OK
D6.xlsx,Exp6_Sliding_Window,0.936625,0.28694,1.122159,0.781908,88.9,OK
D6.xlsx,Exp7_Combined_Best,1.042107,0.328593,1.119006,0.829902,379.9,OK
D6.xlsx,Exp8_BiLSTM_Dense,0.912592,0.215382,1.065831,0.731268,14707.2,OK
